name,role,type,demographic,description,units,missing_values,project_category,prediction_time_status,primary_model_use
encounter_id,ID, ,,Unique identifier of an encounter,,no,identifier,identifier_only,exclude
patient_nbr,ID, ,,Unique identifier of a patient,,no,identifier,group_key_only,grouping_only
race,Feature,Categorical,Race,"Values: Caucasian, Asian, African American, Hispanic, and other",,yes,demographic,available_by_discharge,candidate_feature_demographic_audit
gender,Feature,Categorical,Gender,"Values: male, female, and unknown/invalid",,no,demographic,available_by_discharge,candidate_feature_demographic_audit
age,Feature,Categorical,Age,"Grouped in 10-year intervals: [0, 10), [10, 20),..., [90, 100)",,no,demographic,available_by_discharge,candidate_feature_demographic_audit
weight,Feature,Categorical,,Weight in pounds.,,yes,demographic,available_by_discharge,candidate_feature
admission_type_id,Feature,Categorical,,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",,no,admission_context,available_by_discharge,candidate_feature
discharge_disposition_id,Feature,Categorical,,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",,no,discharge_context,available_at_discharge_cohort_defining,cohort_definition_only
admission_source_id,Feature,Categorical,,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",,no,admission_context,available_by_discharge,candidate_feature
time_in_hospital,Feature,Integer,,Integer number of days between admission and discharge,,no,encounter_course,available_by_discharge,candidate_feature
payer_code,Feature,Categorical,,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",,yes,administrative,available_by_discharge,candidate_feature
medical_specialty,Feature,Categorical,,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",,yes,administrative,available_by_discharge,candidate_feature
num_lab_procedures,Feature,Integer,,Number of lab tests performed during the encounter,,no,encounter_course,available_by_discharge,candidate_feature
num_procedures,Feature,Integer,,Number of procedures (other than lab tests) performed during the encounter,,no,encounter_course,available_by_discharge,candidate_feature
num_medications,Feature,Integer,,Number of distinct generic names administered during the encounter,,no,encounter_course,available_by_discharge,candidate_feature
number_outpatient,Feature,Integer,,Number of outpatient visits of the patient in the year preceding the encounter,,no,prior_utilization,available_by_discharge,candidate_feature
number_emergency,Feature,Integer,,Number of emergency visits of the patient in the year preceding the encounter,,no,prior_utilization,available_by_discharge,candidate_feature
number_inpatient,Feature,Integer,,Number of inpatient visits of the patient in the year preceding the encounter,,no,prior_utilization,available_by_discharge,candidate_feature
diag_1,Feature,Categorical,,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,,yes,diagnosis,available_by_discharge,candidate_feature
diag_2,Feature,Categorical,,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,,yes,diagnosis,available_by_discharge,candidate_feature
diag_3,Feature,Categorical,,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,,yes,diagnosis,available_by_discharge,candidate_feature
number_diagnoses,Feature,Integer,,Number of diagnoses entered to the system,,no,encounter_course,available_by_discharge,candidate_feature
max_glu_serum,Feature,Categorical,,"Indicates the range of the result or if the test was not taken. Values: >200, >300, normal, and none if not measured",,no,laboratory,available_by_discharge,candidate_feature
A1Cresult,Feature,Categorical,,"Indicates the range of the result or if the test was not taken. Values: >8 if the result was greater than 8%, >7 if the result was greater than 7% but less than 8%, normal if the result was less than 7%, and none if not measured.",,no,laboratory,available_by_discharge,candidate_feature
metformin,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
repaglinide,Feature,Categorical,,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",,no,medication,available_by_discharge,candidate_feature
