variable,clinical_group,encounters,proportion
diag_1_group,Circulatory,23849,0.30008933851748393
diag_1_group,Other,14258,0.17940684257546588
diag_1_group,Respiratory,11097,0.1396323279604394
diag_1_group,Digestive,7420,0.09336504221559523
diag_1_group,Diabetes,6895,0.08675902507769935
diag_1_group,Injury,5502,0.06923105960514891
diag_1_group,Genitourinary,4005,0.05039447359480578
diag_1_group,Musculoskeletal,3944,0.04962691731783121
diag_1_group,Neoplasms,2487,0.031293646898946814
diag_1_group,Missing,16,0.00020132623658349375
diag_2_group,Circulatory,25102,0.3158556994199288
diag_2_group,Other,20667,0.2600505832169416
diag_2_group,Diabetes,10162,0.1278673260100915
diag_2_group,Respiratory,8299,0.10442540233790092
diag_2_group,Genitourinary,6557,0.08250600832987304
diag_2_group,Digestive,3239,0.04075598001837102
diag_2_group,Injury,1912,0.024058485271727506
diag_2_group,Neoplasms,1869,0.023517421010909364
diag_2_group,Musculoskeletal,1381,0.017376970795112804
diag_2_group,Missing,285,0.003586123589143483
diag_3_group,Circulatory,23740,0.2987178035307589
diag_3_group,Other,22854,0.2875693631799479
diag_3_group,Diabetes,13556,0.17057365394536508
diag_3_group,Respiratory,5561,0.06997345010255056
diag_3_group,Genitourinary,5152,0.064827048179885
diag_3_group,Digestive,3074,0.03867980320360374
diag_3_group,Musculoskeletal,1535,0.019314735822228934
diag_3_group,Injury,1526,0.019201489814150718
diag_3_group,Neoplasms,1332,0.016760409195575855
diag_3_group,Missing,1143,0.014382243025933336
