variable,dtype,n_unique_including_na,most_common_value,most_common_n,most_common_pct
encounter_id,int64,79473,149190,1,1.258288978646836e-05
patient_nbr,int64,55952,88785891,40,0.0005033155914587344
diag_3,str,762,250,9130,0.11488178375045613
diag_2,str,720,276,5213,0.06559460445685956
diag_1,str,695,428,5394,0.06787210750821034
num_lab_procedures,int64,117,1,2514,0.031633384923181455
num_medications,int64,75,12,4751,0.05978130937551118
medical_specialty,str,72,,38980,0.4904810438765367
number_outpatient,int64,38,0,66317,0.8344595019692223
number_emergency,int64,30,0,70558,0.8878235375536345
discharge_disposition_id,int64,21,1,48218,0.6067217797239314
number_inpatient,int64,21,0,53004,0.666943490241969
payer_code,str,18,,31564,0.3971663332200873
admission_source_id,int64,17,7,44805,0.5637763768827149
number_diagnoses,int64,16,9,38303,0.4819624274910976
time_in_hospital,int64,14,3,14018,0.17638694902671348
age,str,10,[70-80),20306,0.25550816000402654
weight,str,10,,76996,0.9688321819989179
admission_type_id,int64,8,1,42066,0.5293118417575781
num_procedures,int64,7,0,36589,0.46039535439709084
race,str,6,Caucasian,59346,0.7467441772677513
insulin,str,4,No,37052,0.4662212323682257
max_glu_serum,str,4,,75379,0.9484856492141985
A1Cresult,str,4,,65957,0.8299296616460936
metformin,str,4,No,63612,0.8004227850968253
repaglinide,str,4,No,78296,0.9851899387213268
nateglinide,str,4,No,78901,0.9928025870421401
chlorpropamide,str,4,No,79409,0.999194695053666
glimepiride,str,4,No,75425,0.9490644621443761
glipizide,str,4,No,69511,0.8746492519472022
glyburide,str,4,No,71030,0.8937626615328477
rosiglitazone,str,4,No,74415,0.936355743460043
pioglitazone,str,4,No,73739,0.9278497099643904
miglitol,str,4,No,79435,0.9995218501881142
acarbose,str,4,No,79236,0.997017855120607
glyburide-metformin,str,4,No,78901,0.9928025870421401
gender,str,3,Female,42839,0.5390384155625181
tolazamide,str,3,No,79440,0.9995847646370466
readmitted,str,3,NO,41962,0.5280032212197854
tolbutamide,str,2,No,79454,0.9997609250940571
acetohexamide,str,2,No,79472,0.9999874171102136
glipizide-metformin,str,2,No,79460,0.9998364224327759
troglitazone,str,2,No,79471,0.9999748342204271
diabetesMed,str,2,Yes,61387,0.7724258553219332
change,str,2,No,42583,0.5358171957771822
metformin-pioglitazone,str,2,No,79472,0.9999874171102136
metformin-rosiglitazone,str,2,No,79472,0.9999874171102136
readmitted_30d,int64,2,0,70422,0.8861122645426749
citoglipton,str,1,No,79473,1.0
examide,str,1,No,79473,1.0
glimepiride-pioglitazone,str,1,No,79473,1.0
