variable,dtype,null_n,null_pct,blank_n,special_missing_marker_n
weight,str,76996,0.9688321819989179,0,0
max_glu_serum,str,75379,0.9484856492141985,0,0
A1Cresult,str,65957,0.8299296616460936,0,0
medical_specialty,str,38980,0.4904810438765367,0,0
payer_code,str,31564,0.3971663332200873,0,0
race,str,1791,0.02253595560756483,0,0
diag_3,str,1143,0.014382243025933336,0,0
diag_2,str,285,0.003586123589143483,0,0
diag_1,str,16,0.00020132623658349375,0,0
gender,str,0,0.0,0,2
encounter_id,int64,0,0.0,0,0
patient_nbr,int64,0,0.0,0,0
age,str,0,0.0,0,0
admission_type_id,int64,0,0.0,0,0
discharge_disposition_id,int64,0,0.0,0,0
admission_source_id,int64,0,0.0,0,0
time_in_hospital,int64,0,0.0,0,0
num_lab_procedures,int64,0,0.0,0,0
num_procedures,int64,0,0.0,0,0
num_medications,int64,0,0.0,0,0
number_outpatient,int64,0,0.0,0,0
number_emergency,int64,0,0.0,0,0
number_inpatient,int64,0,0.0,0,0
number_diagnoses,int64,0,0.0,0,0
metformin,str,0,0.0,0,0
repaglinide,str,0,0.0,0,0
nateglinide,str,0,0.0,0,0
chlorpropamide,str,0,0.0,0,0
glimepiride,str,0,0.0,0,0
acetohexamide,str,0,0.0,0,0
glipizide,str,0,0.0,0,0
glyburide,str,0,0.0,0,0
tolbutamide,str,0,0.0,0,0
pioglitazone,str,0,0.0,0,0
rosiglitazone,str,0,0.0,0,0
acarbose,str,0,0.0,0,0
miglitol,str,0,0.0,0,0
troglitazone,str,0,0.0,0,0
tolazamide,str,0,0.0,0,0
examide,str,0,0.0,0,0
citoglipton,str,0,0.0,0,0
insulin,str,0,0.0,0,0
glyburide-metformin,str,0,0.0,0,0
glipizide-metformin,str,0,0.0,0,0
glimepiride-pioglitazone,str,0,0.0,0,0
metformin-rosiglitazone,str,0,0.0,0,0
metformin-pioglitazone,str,0,0.0,0,0
change,str,0,0.0,0,0
diabetesMed,str,0,0.0,0,0
readmitted,str,0,0.0,0,0
readmitted_30d,int64,0,0.0,0,0
