variable,readmitted_30d,count,mean,median,std,minimum,maximum
time_in_hospital,0,70422,4.320283434154099,4.0,2.9525267045447063,1,14
time_in_hospital,1,9051,4.759916031377748,4.0,3.038451509084682,1,14
num_lab_procedures,0,70422,42.725653914969755,44.0,19.613281582626694,1,129
num_lab_procedures,1,9051,44.19832062755496,45.0,19.343578643789204,1,132
num_procedures,0,70422,1.337394564198688,1.0,1.7090092582345864,0,6
num_procedures,1,9051,1.2896917467683129,1.0,1.6383669352015446,0,6
num_medications,0,70422,15.837351963874925,15.0,8.072145111126273,1,79
num_medications,1,9051,16.976356203734394,16.0,8.128939777338877,1,81
number_outpatient,0,70422,0.3622589531680441,0.0,1.264775284673728,0,42
number_outpatient,1,9051,0.4431554524361949,0.0,1.3115510399589878,0,40
number_emergency,0,70422,0.17628013972906195,0.0,0.864744731226473,0,76
number_emergency,1,9051,0.3554303391890399,0.0,1.365622946870681,0,64
number_inpatient,0,70422,0.5521427962852518,0.0,1.113999058853312,0,19
number_inpatient,1,9051,1.2406363937686444,1.0,1.9756499436718522,0,21
number_diagnoses,0,70422,7.363551162988839,8.0,1.9602211411359167,1,16
number_diagnoses,1,9051,7.693735498839907,9.0,1.7878359647271174,1,16
