variable,level,encounters,positive_30d,prevalence_30d
age,[0-10),136,3,0.022058823529411766
age,[10-20),545,32,0.05871559633027523
age,[20-30),1306,178,0.1362940275650842
age,[30-40),2997,339,0.11311311311311312
age,[40-50),7667,828,0.107995304551976
age,[50-60),13636,1356,0.09944265180404811
age,[60-70),17822,2021,0.11339916956570531
age,[70-80),20306,2445,0.12040776125283167
age,[80-90),12996,1604,0.12342259156663589
age,[90-100),2062,245,0.11881668283220174
gender,Female,42839,4890,0.11414832278998109
gender,Male,36632,4161,0.11358921161825726
gender,Missing,2,0,0.0
race,AfricanAmerican,15056,1743,0.11576780021253985
race,Asian,504,52,0.10317460317460317
race,Caucasian,59346,6821,0.11493613722913086
race,Hispanic,1612,167,0.10359801488833748
race,Missing,1791,149,0.08319374651032943
race,Other,1164,119,0.10223367697594501
A1Cresult,>7,3004,305,0.10153129161118508
A1Cresult,>8,6549,659,0.10062604977859216
A1Cresult,Norm,3963,394,0.09941963159222811
A1Cresult,Not_measured,65957,7693,0.1166365965704929
max_glu_serum,>200,1140,143,0.12543859649122807
max_glu_serum,>300,934,138,0.14775160599571735
max_glu_serum,Norm,2020,227,0.11237623762376238
max_glu_serum,Not_measured,75379,8543,0.11333395242706855
change,Ch,36890,4440,0.12035782054757387
change,No,42583,4611,0.10828264800507245
diabetesMed,No,18086,1790,0.0989715802278005
diabetesMed,Yes,61387,7261,0.11828237248928926
insulin,Down,9507,1334,0.14031766067108448
insulin,No,37052,3788,0.10223469718233834
insulin,Steady,24152,2743,0.11357237495859557
insulin,Up,8762,1186,0.13535722437799588
