medical_specialty,encounters,proportion,cumulative_proportion
Missing,38980,0.4904810438765367,0.4904810438765367
InternalMedicine,11411,0.14358335535339045,0.6340643992299271
Emergency/Trauma,5885,0.0740503063933663,0.7081147056232934
Family/GeneralPractice,5707,0.07181055201137493,0.7799252576346682
Cardiology,4239,0.05333886980483938,0.8332641274395076
Surgery-General,2467,0.031041989103217444,0.864306116542725
Nephrology,1256,0.01580410957180426,0.8801102261145293
Orthopedics,1105,0.013904093214047538,0.8940143193285768
Orthopedics-Reconstructive,1001,0.012595472676254828,0.9066097920048316
Radiologist,886,0.011148440350810968,0.9177582323556426
Pulmonology,681,0.008568947944584954,0.9263271803002275
Psychiatry,673,0.008468284826293207,0.9347954651265208
Urology,543,0.00683250915405232,0.9416279742805731
ObstetricsandGynecology,537,0.006757011815333509,0.9483849860959066
Surgery-Cardiovascular/Thoracic,515,0.006480188240031205,0.9548651743359378
Gastroenterology,432,0.0054358083877543316,0.9603009827236921
Surgery-Vascular,405,0.005096070363519686,0.9653970530872118
Surgery-Neuro,372,0.00468083500056623,0.9700778880877781
PhysicalMedicineandRehabilitation,306,0.003850364274659318,0.9739282523624374
Oncology,266,0.003347048683200584,0.977275301045638
Pediatrics,204,0.0025669095164395457,0.9798422105620775
Neurology,159,0.0020006794760484693,0.981842890038126
Hematology/Oncology,142,0.001786770349678507,0.9836296603878045
Pediatrics-Endocrinology,127,0.0015980270028814819,0.985227687390686
Otolaryngology,106,0.0013337863173656461,0.9865614737080517
Endocrinology,90,0.0011324600807821525,0.9876939337888339
Surgery-Thoracic,89,0.0011198771909956841,0.9888138109798296
Psychology,84,0.0010569627420633422,0.9898707737218929
Surgery-Cardiovascular,80,0.0010066311829174687,0.9908774049048104
Podiatry,76,0.0009562996237715954,0.991833704528582
Pediatrics-CriticalCare,67,0.0008430536156933801,0.9926767581442754
Hematology,60,0.0007549733871881016,0.9934317315314635
Gynecology,46,0.0005788129301775445,0.994010544461641
Radiology,44,0.0005536471506046079,0.9945641916122456
Hospitalist,43,0.0005410642608181395,0.9951052558730638
Surgeon,39,0.0004907327016722661,0.995595988574736
InfectiousDiseases,33,0.0004152353629534559,0.9960112239376894
Osteopath,32,0.0004026524731669875,0.9964138764108563
Surgery-Plastic,29,0.0003649038038075824,0.9967787802146639
SurgicalSpecialty,27,0.0003397380242346457,0.9971185182388985
Ophthalmology,26,0.00032715513444817734,0.9974456733733467
Pediatrics-Pulmonology,23,0.00028940646508877226,0.9977350798384355
Obsterics&Gynecology-GynecologicOnco,20,0.0002516577957293672,0.9979867376341648
Rheumatology,15,0.0001887433467970254,0.9981754809809618
Obstetrics,15,0.0001887433467970254,0.9983642243277587
Anesthesiology-Pediatric,14,0.00017616045701055705,0.9985403847847693
Pathology,13,0.00016357756722408867,0.9987039623519933
OutreachServices,11,0.00013841178765115197,0.9988423741396445
PhysicianNotFound,9,0.00011324600807821524,0.9989556201477227
Anesthesiology,8,0.00010066311829174688,0.9990562832660144
Endocrinology-Metabolism,8,0.00010066311829174688,0.9991569463843061
Surgery-Maxillofacial,7,8.808022850527853e-05,0.9992450266128113
Cardiology-Pediatric,7,8.808022850527853e-05,0.9993331068413166
Surgery-Colon&Rectal,6,7.549733871881016e-05,0.9994086041800354
Psychiatry-Child/Adolescent,6,7.549733871881016e-05,0.9994841015187542
Pediatrics-Neurology,6,7.549733871881016e-05,0.999559598857473
AllergyandImmunology,6,7.549733871881016e-05,0.9996350961961918
Pediatrics-Hematology-Oncology,4,5.033155914587344e-05,0.9996854277553378
Dentistry,4,5.033155914587344e-05,0.9997357593144837
Surgery-Pediatric,3,3.774866935940508e-05,0.999773507983843
Pediatrics-EmergencyMedicine,3,3.774866935940508e-05,0.9998112566532024
Pediatrics-AllergyandImmunology,3,3.774866935940508e-05,0.9998490053225617
DCPTEAM,3,3.774866935940508e-05,0.9998867539919211
Surgery-PlasticwithinHeadandNeck,1,1.258288978646836e-05,0.9998993368817075
Pediatrics-InfectiousDiseases,1,1.258288978646836e-05,0.999911919771494
Psychiatry-Addictive,1,1.258288978646836e-05,0.9999245026612804
Proctology,1,1.258288978646836e-05,0.9999370855510669
Dermatology,1,1.258288978646836e-05,0.9999496684408533
SportsMedicine,1,1.258288978646836e-05,0.9999622513306398
Speech,1,1.258288978646836e-05,0.9999748342204262
Neurophysiology,1,1.258288978646836e-05,0.9999874171102127
Resident,1,1.258288978646836e-05,0.9999999999999991
