feature,feature_group,preprocessing
age_midpoint,numeric,StandardScaler
time_in_hospital,numeric,StandardScaler
num_lab_procedures,numeric,StandardScaler
num_procedures,numeric,StandardScaler
num_medications,numeric,StandardScaler
number_outpatient,numeric,StandardScaler
number_emergency,numeric,StandardScaler
number_inpatient,numeric,StandardScaler
number_diagnoses,numeric,StandardScaler
race,categorical,OneHotEncoder(handle_unknown=ignore)
gender,categorical,OneHotEncoder(handle_unknown=ignore)
admission_type_id,categorical,OneHotEncoder(handle_unknown=ignore)
admission_source_id,categorical,OneHotEncoder(handle_unknown=ignore)
payer_code,categorical,OneHotEncoder(handle_unknown=ignore)
diag_1_group,categorical,OneHotEncoder(handle_unknown=ignore)
diag_2_group,categorical,OneHotEncoder(handle_unknown=ignore)
diag_3_group,categorical,OneHotEncoder(handle_unknown=ignore)
max_glu_serum,categorical,OneHotEncoder(handle_unknown=ignore)
A1Cresult,categorical,OneHotEncoder(handle_unknown=ignore)
metformin,categorical,OneHotEncoder(handle_unknown=ignore)
repaglinide,categorical,OneHotEncoder(handle_unknown=ignore)
nateglinide,categorical,OneHotEncoder(handle_unknown=ignore)
chlorpropamide,categorical,OneHotEncoder(handle_unknown=ignore)
glimepiride,categorical,OneHotEncoder(handle_unknown=ignore)
acetohexamide,categorical,OneHotEncoder(handle_unknown=ignore)
glipizide,categorical,OneHotEncoder(handle_unknown=ignore)
glyburide,categorical,OneHotEncoder(handle_unknown=ignore)
tolbutamide,categorical,OneHotEncoder(handle_unknown=ignore)
pioglitazone,categorical,OneHotEncoder(handle_unknown=ignore)
rosiglitazone,categorical,OneHotEncoder(handle_unknown=ignore)
acarbose,categorical,OneHotEncoder(handle_unknown=ignore)
miglitol,categorical,OneHotEncoder(handle_unknown=ignore)
troglitazone,categorical,OneHotEncoder(handle_unknown=ignore)
tolazamide,categorical,OneHotEncoder(handle_unknown=ignore)
insulin,categorical,OneHotEncoder(handle_unknown=ignore)
glyburide-metformin,categorical,OneHotEncoder(handle_unknown=ignore)
glipizide-metformin,categorical,OneHotEncoder(handle_unknown=ignore)
metformin-rosiglitazone,categorical,OneHotEncoder(handle_unknown=ignore)
metformin-pioglitazone,categorical,OneHotEncoder(handle_unknown=ignore)
change,categorical,OneHotEncoder(handle_unknown=ignore)
diabetesMed,categorical,OneHotEncoder(handle_unknown=ignore)
medical_specialty,categorical_high_cardinality,"OneHotEncoder(handle_unknown=infrequent_if_exist,min_frequency=0.005)"
